"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"TSM","Taiwan Semiconductor Manufacturing Co Ltd ADRs","Taiwan","TT:2330","Taiwan Stock Exchange","Information Technology","$645,666,473,454","35.71","13.76","0.35","1.40%","12,748,117","Analyze"
"BABA","Alibaba Group Holding Ltd ADRs","China","PRIVATE","","Consumer Discretionary","$609,579,925,980","25.28","6.21","0.65","0.00%","16,333,194","Analyze"
"ASML","ASML Holding NV ADRs","The Netherlands","NA:ASML","Nyse Euronext - Euronext Amsterdam","Information Technology","$268,683,946,089","64.60","16.35","19.38","0.44%","1,191,240","Analyze"
"TM","Toyota Motor Corp ADRs","Japan","JT:7203","Tokyo Stock Exchange","Consumer Discretionary","$253,502,275,153","15.71","1.05","0.01","1.30%","387,349","Analyze"
"NVS","Novartis AG ADRs","Switzerland","VX:NOVN","Six Swiss - Blue Chips Segment","Health Care","$215,300,406,488","26.67","4.31","3.80","3.67%","1,636,774","Analyze"
"PDD","Pinduoduo Inc. ADRs","China","PRIVATE","","Consumer Discretionary","$166,134,297,240","0.00","18.34","2.09","0.00%","10,810,346","Analyze"
"SAP","SAP SE ADRs","Germany","GF:SAP","Frankfurt Stock Exchange","Information Technology","$161,916,548,838","25.18","5.04","5.45","1.32%","942,073","Analyze"
"RDS.A","Royal Dutch Shell  ADRs of Class A Shares","United Kingdom","NA:RDSA","Nyse Euronext - Euronext Amsterdam","Energy","$150,774,031,668","-3.77","0.84","0.53","3.24%","4,486,519","Analyze"
"RDS.B","Royal Dutch Shell ADRs of class B Shares","United Kingdom","LN:RDSB","London Stock Exchange","Energy","$150,774,031,668","-3.19","0.84","0.45","3.45%","2,990,596","Analyze"
"UL","Unilever PLC ADRs","United Kingdom","LN:ULVR","London Stock Exchange","Consumer Staples","$148,026,424,364","22.60","1.39","9.70","3.32%","2,107,848","Analyze"
"SONY","Sony Group Corporation ADRs","Japan","JT:6758","Tokyo Stock Exchange","Consumer Discretionary","$140,469,337,616","13.52","1.72","0.03","0.21%","928,903","Analyze"
"HDB","HDFC Bank Ltd ADRs","India","IS:HDFCBANK","National Stock Exchange Of India","Financials","$139,172,569,736","198.25","11.22","0.07","0.24%","1,405,480","Analyze"
"SNE","Sony Corp ADRs","Japan","JT:6758","Tokyo Stock Exchange","Information Technology","$133,684,841,374","0.00","0.00","0.00","0.23%","959,197","Analyze"
"RIO","Rio Tinto PLC ADRs","United Kingdom","LN:RIO","London Stock Exchange","Materials","$130,196,084,444","11.74","2.03","2.12","5.74%","2,661,903","Analyze"
"AZN","AstraZeneca PLC ADRs","United Kingdom","LN:AZN","London Stock Exchange","Health Care","$130,032,963,799","40.69","4.90","8.32","2.81%","9,812,709","Analyze"
"BUD","Anheuser-Busch InBev SA/NV ADRs","Belgium","BB:ABI","Nyse Euronext - Euronext Brussels","Consumer Staples","$129,918,028,543","92.53","2.77","1.91","0.88%","1,395,437","Analyze"
"JD","JD.com Inc ADRs","China","PRIVATE","","Consumer Discretionary","$128,287,624,420","17.00","1.13","0.59","0.00%","12,889,391","Analyze"
"SNY","Sanofi SA ADRs","France","FP:SAN","Euronext Paris","Health Care","$126,350,403,626","8.69","2.88","2.01","3.39%","1,333,168","Analyze"
"NVO","Novo Nordisk A/S ADRs","Denmark","DC:NOVO-B","Omx Nordic Exchange Copenhagen A/S","Health Care","$123,852,498,120","23.86","0.00","1.96","2.10%","830,083","Analyze"
"TOT","TOTAL SA ADRs","France","FP:FP","Euronext Paris","Energy","$121,051,517,524","-16.72","1.12","1.17","3.33%","2,028,196","Analyze"
"HSBC","HSBC Holdings PLC ADRs","United Kingdom","LN:HSBA","London Stock Exchange","Financials","$120,031,386,710","30.79","2.09","0.61","0.51%","2,117,759","Analyze"
"BHP","BHP Billiton Ltd ADRs","Australia","AT:BHP","Asx - All Markets","Materials","$104,783,934,156","14.05","1.89","2.14","4.31%","2,434,859","Analyze"
"SE","Sea Limited ADRs","Singapore","PRIVATE","","Information Technology","$102,557,340,000","-9.57","23.44","4.58","0.00%","4,995,186","Analyze"
"DEO","Diageo PLC ADRs","United Kingdom","LN:DGE","London Stock Exchange","Consumer Staples","$98,986,335,207","64.12","4.71","14.52","1.28%","349,892","Analyze"
"VALE","Vale SA ADRs","Brazil","BS:VALE3","XBSP","Materials","$96,600,198,796","20.23","6.06","2.77","6.73%","28,975,452","Analyze"
"GSK","GlaxoSmithKline PLC ADRs","United Kingdom","LN:GSK","London Stock Exchange","Health Care","$90,760,614,540","11.50","1.95","6.22","5.73%","5,166,581","Analyze"
"BTI","British American Tobacco PLC ADRs","United Kingdom","LN:BATS","London Stock Exchange","Consumer Staples","$89,314,970,580","10.14","1.97","1.43","7.11%","2,844,567","Analyze"
"INFY","Infosys Ltd ADRs","India","IS:INFY","National Stock Exchange Of India","Information Technology","$82,514,030,521","32.93","6.13","8.42","1.48%","7,989,302","Analyze"
"BP","BP PLC ADRs","United Kingdom","LN:BP","London Stock Exchange","Energy","$82,280,653,335","-4.05","0.46","1.15","6.32%","12,498,856","Analyze"
"BIDU","Baidu Inc ADRs of Class A","China","PRIVATE","","Communication Services","$77,423,607,000","22.49","4.75","0.34","0.00%","21,312,826","Analyze"
"MUFG","Mitsubishi UFJ Financial Group Inc. ADRs","Japan","JT:8306","Tokyo Stock Exchange","Financials","$75,244,252,965","24.51","2.27","0.00","2.16%","2,117,632","Analyze"
