"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"DQ","Daqo New Energy ADRs","China","PRIVATE","","Information Technology","$5,224,489,178","40.44","7.73","6.81","0.00%","2,973,301","Analyze"
"GLPG","Galapagos NV ADRs","Belgium","NA:GLPG","Nyse Euronext - Euronext Amsterdam","Health Care","$5,187,862,099","60.65","8.61","1.94","0.00%","236,156","Analyze"
"PAC","Grupo Aeroportuario del Pacifico ADRs of Series B","Mexico","MM:GAPB","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Industrials","$5,168,577,150","61.24","10.52","0.24","0.36%","90,824","Analyze"
"AMOV","America Movil - Series A ADRs","Mexico","MM:AMXL","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Communication Services","$5,145,411,917","0.01","0.01","0.00","1.23%","5,543","Analyze"
"AMX","America Movil SAB de CV ADRs Series L","Mexico","MM:AMXL","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Communication Services","$5,145,411,917","20.13","0.10","0.02","0.12%","2,088,406","Analyze"
"ZH","Zhihu Inc. ADRs","China","","","Unknown","$5,047,929,856","0.00","0.00","0.00","0.00%","9,751,728","Analyze"
"YSG","Yatsen Holding Ltd ADRs","China","PRIVATE","","Consumer Discretionary","$5,034,622,935","0.00","6.44","0.74","0.00%","3,816,774","Analyze"
"ASR","Grupo Aeroportuario del Sureste ADRs","Mexico","MM:ASURB","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Industrials","$5,012,665,650","56.72","9.32","0.15","0.19%","67,417","Analyze"
"SBS","SABESP ADRs","Brazil","BS:SBSP3","XBSP","Health Care","$4,941,776,353","29.39","1.66","0.23","3.50%","2,069,966","Analyze"
"GSX","GSX Techedu Inc. ADRs of Class A shares","China","PRIVATE","","Consumer Discretionary","$4,705,359,600","307.01","4.34","0.82","0.00%","15,916,998","Analyze"
"HUYA","HUYA Inc. ADRs of Class A","China","PRIVATE","","Communication Services","$4,603,464,554","34.58","2.77","0.17","0.00%","2,383,621","Analyze"
"ABCM","Abcam plc ADRs","United Kingdom","LN:ABC","London Stock Exchange","Health Care","$4,479,984,216","240.02","12.46","7.11","0.75%","224,785","Analyze"
"GRFS","Grifols SA ADRs","Spain","SM:GRF.P","Bolsa De Madrid","Health Care","$4,344,883,500","31.39","0.68","0.85","2.70%","1,085,372","Analyze"
"JOBS","51job, Inc. ADRs","China","PRIVATE","","Industrials","$4,236,508,392","25.62","7.54","0.34","0.00%","187,639","Analyze"
"TKC","Turkcell Iletisim Hizmetleri ADRs","Turkey","TI:TCELL","Istanbul Stock Exchange","Communication Services","$4,180,000,000","6.38","1.16","0.20","2.47%","1,271,256","Analyze"
"UGP","Ultrapar Participacoes SA ADRs","Brazil","BS:UGPA3","XBSP","Energy","$4,080,920,906","25.96","0.31","0.43","2.15%","2,378,788","Analyze"
"HCM","Hutchison China Meditech ADRs","China","LN:HCM","London Stock Exchange","Health Care","$4,002,472,183","-34.13","14.82","8.27","0.00%","277,975","Analyze"
"LEGN","Legend Biotech Corporation ADRs","China","PRIVATE","","Health Care","$3,768,779,979","-12.42","49.80","13.45","0.00%","396,696","Analyze"
"BSMX","Santander Mexico ADRs","Mexico","PRIVATE","","Financials","$3,708,116,694","7.75","1.13","0.02","1.96%","769,037","Analyze"
"CIG","Companhia Energetica de Minas Gerais-CEMIG ADRs","Brazil","BS:CMIG4","XBSP","Utilities","$3,615,525,426","6.66","0.83","0.13","2.81%","8,701,254","Analyze"
"CIG.C","Comp En De Mn Cemig ADRs","Brazil","BS:CMIG3","XBSP","Utilities","$3,615,525,426","0.70","0.14","0.08","2.18%","21,313","Analyze"
"CIB","Bancolombia SA ADRs","Colombia","CX:PFBCOLOM","Bolsa De Valores De Colombia","Financials","$3,614,718,716","24.12","1.48","0.00","2.87%","196,303","Analyze"
"WNS","WNS Holdings ADRs","India","PRIVATE","","Industrials","$3,613,159,024","34.55","3.94","5.17","0.00%","160,346","Analyze"
"IMAB","I-MAB ADRs","China","PRIVATE","","Health Care","$3,577,194,449","0.00","14.93","0.64","0.00%","425,187","Analyze"
"VNET","21Vianet Group, Inc. ADRs","China","PRIVATE","","Information Technology","$3,540,438,194","40.47","4.81","0.54","0.00%","2,665,547","Analyze"
"BRFS","BRF SA ADRs","Brazil","BS:BRFS3","XBSP","Consumer Staples","$3,518,009,155","14.63","0.51","0.41","5.86%","3,129,319","Analyze"
"ASAI","Sendas Distribuidora S.A. ADRs","Brazil","BS:ASAI3","XBSP","Unknown","$3,501,987,949","0.00","0.00","0.00","0.00%","289,077","Analyze"
"JMIA","Jumia Technologies AG ADRs","Germany","PRIVATE","","Consumer Discretionary","$3,406,821,970","0.00","20.72","15.18","0.00%","8,642,624","Analyze"
"DOYU","DouYu International Holdings Limited ADRs","China","PRIVATE","","Communication Services","$3,352,583,837","31.17","2.29","0.48","0.00%","2,743,518","Analyze"
"CCU","Compania Cervecerias Unidas SA ADRs","Chile","CC:CCU","Santiago Stock Exchange","Consumer Staples","$3,297,813,133","7.06","1.42","0.00","3.28%","242,856","Analyze"
"QFIN","360 Finance, Inc. ADRs","China","PRIVATE","","Financials","$3,248,618,741","7.38","1.85","0.34","0.00%","3,984,218","Analyze"
"YALA","Yalla Group Ltd ADRs of Class A","United Arab Emirates","PRIVATE","","Information Technology","$3,161,184,000","-299.48","23.75","13.54","0.00%","3,006,067","Analyze"
"ZNH","China Southern Airlines ADRs","China","HK:1055","Hong Kong Exchange","Industrials","$3,123,420,827","16.78","0.17","0.04","4.09%","30,735","Analyze"
"VEON","VEON Ltd ADRs","The Netherlands","NA:VEON","Nyse Euronext - Euronext Amsterdam","Communication Services","$3,091,846,798","-8.86","0.39","18.97","8.47%","6,071,271","Analyze"
"HMY","Harmony Gold Mining Company Limited ADRs","South Africa","SJ:HAR","Johannesburg Stock Exchange","Materials","$3,000,174,199","11.54","0.64","0.10","1.70%","5,204,760","Analyze"
"CAN","Canaan Inc. ADRs","China","PRIVATE","","Information Technology","$2,956,210,070","-3.14","3.39","5.44","0.00%","23,094,976","Analyze"
"MOR","MorphoSys AG ADRs","Germany","GF:MOR","Frankfurt Stock Exchange","Health Care","$2,914,058,076","25.34","26.07","4.69","0.00%","109,702","Analyze"
"DAVA","Endava plc ADRs of Class A shares","United Kingdom","PRIVATE","","Information Technology","$2,909,545,886","97.62","5.49","11.24","0.00%","119,857","Analyze"
"BVN","Compania de Minas Buenaventura ADRs","Peru","PE:BVN","Bolsa De Valores De Lima","Materials","$2,806,626,124","-20.68","3.55","1.07","0.00%","795,275","Analyze"
"NIU","Niu Technologies Class A ADRs","China","PRIVATE","","Consumer Discretionary","$2,786,608,400","114.42","7.48","2.45","0.00%","1,433,414","Analyze"
"CD","Chindata Group Holdings Ltd ADRs","China","PRIVATE","","Information Technology","$2,748,204,730","0.00","10.10","0.28","0.00%","881,144","Analyze"
"MFGP","Micro Focus Intl Plc ADRs","United Kingdom","LN:MCRO","London Stock Exchange","Information Technology","$2,621,546,169","-1.86","0.82","0.82","9.27%","1,188,260","Analyze"
"MOMO","MOMO Inc ADRs","China","PRIVATE","","Communication Services","$2,561,564,055","10.34","1.12","0.17","3.54%","4,088,060","Analyze"
"BNR","Burning Rock Biotech Limited ADRs","China","PRIVATE","","Health Care","$2,553,908,208","0.00","39.00","1.05","0.00%","382,062","Analyze"
"AMRN","Amarin Corp PLC ADRs","United Kingdom","PRIVATE","","Health Care","$2,549,468,682","-141.64","4.15","4.06","0.00%","4,688,080","Analyze"
"BAK","Braskem SA ADRs","Brazil","BS:BRKM3","XBSP","Materials","$2,449,852,671","2,395.86","0.24","-1.11","5.55%","273,426","Analyze"
"KOF","Coca-Cola Femsa ADRs of Series L Shares","Mexico","MM:KOFL","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Consumer Staples","$2,447,469,606","19.58","0.22","0.02","4.59%","161,410","Analyze"
"CEA","China Eastern Airlines ADRs","China","HK:0670","Hong Kong Exchange","Industrials","$2,439,297,699","14.99","0.21","0.04","1.51%","15,594","Analyze"
"HIMX","Himax Technologies ADRs","Taiwan","PRIVATE","","Information Technology","$2,370,974,107","50.30","2.67","4.94","0.00%","3,535,449","Analyze"
"MYTE","MYT Netherlands Parent B.V. ADRs","The Netherlands","PRIVATE","","Consumer Discretionary","$2,332,447,744","0.00","3.93","0.00","0.00%","413,417","Analyze"
"AKO.A","Embotelladora Andina ADRs of A Shares","Chile","CC:ANDINAA","Santiago Stock Exchange","Consumer Staples","$2,310,419,205","13.88","0.95","0.00","6.04%","174,860","Analyze"
"AKO.B","Embotelladora Andina ADRs of B Shares","Chile","CC:ANDINAB","Santiago Stock Exchange","Consumer Staples","$2,310,419,205","16.82","1.02","0.00","5.49%","174,860","Analyze"
"NCTY","The9  Limited ADRs","China","PRIVATE","","Information Technology","$2,303,296,000","3.08","18,733.37","-8.01","0.00%","3,020,515","Analyze"
"SIMO","Silicon Motion Technology Corporation ADRs","Taiwan","PRIVATE","","Information Technology","$2,231,794,559","27.99","4.14","4.00","2.18%","538,480","Analyze"
"OMAB","Grupo Aeroportuario-OMA ADRs","Mexico","MM:OMAB","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Industrials","$2,226,807,000","48.30","9.64","0.21","0.40%","261,174","Analyze"
"AVAL","Grupo Aval Acciones y Valores ADRs","Colombia","CX:PFAVAL","Bolsa De Valores De Colombia","Financials","$2,200,923,660","8.11","0.34","0.00","5.07%","121,995","Analyze"
"CRTO","Criteo SA ADRs","France","PRIVATE","","Information Technology","$2,195,915,514","30.64","1.06","1.97","0.00%","879,549","Analyze"
"TIGR","UP Fintech Holding Limited ADRs of Class A","China","PRIVATE","","Financials","$2,082,900,023","126.54","15.35","8.84","0.00%","9,915,185","Analyze"
"TLND","Talend S.A. ADRs","France","PRIVATE","","Information Technology","$2,068,746,474","-26.00","7.20","237.11","0.00%","1,058,069","Analyze"
"BZUN","Baozun Inc. ADRs","China","PRIVATE","","Consumer Discretionary","$2,025,166,000","37.29","1.50","0.33","0.00%","1,009,673","Analyze"
"GTH","Genetron Holdings Limited ADRs","China","PRIVATE","","Health Care","$2,009,352,335","0.00","31.08","1.19","0.00%","373,764","Analyze"
"SIM","Grupo Simec ADRs of B Shares","Mexico","MM:SIMECB","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Information Technology","$1,990,836,852","9.83","1.12","0.06","4.68%","1,898","Analyze"
"ITCB","Itau CorpBanca ADRs","Chile","CC:ITAUCORP","Santiago Stock Exchange","Financials","$1,981,306,141","3.87","1.55","0.00","0.00%","54,983","Analyze"
"NOAH","Noah Holdings ADRs","China","PRIVATE","","Financials","$1,980,898,282","21.05","3.93","0.27","0.00%","200,308","Analyze"
"IBA","Industrias Bachoco ADRs","Mexico","MM:BACHOCOB","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Consumer Staples","$1,980,220,000","11.11","0.58","0.05","0.88%","12,121","Analyze"
"RAAS","Cloopen Group Holding Limited ADRs of class A","China","PRIVATE","","Information Technology","$1,896,562,928","0.00","75.47","-0.40","0.00%","2,205,401","Analyze"
"MTLS","Materialise NV ADRs","Belgium","PRIVATE","","Information Technology","$1,881,540,570","395.67","9.37","14.14","0.00%","799,824","Analyze"
"ERJ","Embraer S.A. ADRs","Brazil","BS:EMBR3","XBSP","Industrials","$1,814,139,358","0.00","1.11","0.11","0.20%","5,292,453","Analyze"
"IMCR","Immunocore Holdings plc ADRs","United Kingdom","PRIVATE","","Health Care","$1,775,525,868","0.00","98.26","32.08","0.00%","100,198","Analyze"
"HHR","HeadHunter Group PLC ADRs","Russia","PRIVATE","","Industrials","$1,719,000,000","59.69","15.81","0.50","3.01%","126,226","Analyze"
"PRTC","PureTech Health plc ADRs","United Kingdom","LN:PRTC","London Stock Exchange","Health Care","$1,690,519,309","25.40","123.50","2.01","0.00%","412","Analyze"
"ACH","Aluminum Corporation of China ADRs","China","HK:2600","Hong Kong Exchange","Materials","$1,672,241,573","106.00","0.04","0.03","0.00%","241,365","Analyze"
"YPF","YPF Sociedad Anonima ADRs","Argentina","AF:YPFD","Bolsa de Comercio de Buenos Aires","Energy","$1,667,426,568","1.31","0.24","0.00","2.17%","1,211,016","Analyze"
"HNP","Huaneng Power International Inc ADRs","China","HK:0902","Hong Kong Exchange","Utilities","$1,666,285,929","13.13","0.05","0.01","5.47%","52,842","Analyze"
"VLRS","Controladora Vuela Compania de Aviacion S.A.B. de C.V. - Volaris ADRs","Mexico","MM:VOLARA","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Industrials","$1,583,471,531","18.82","1.67","0.57","0.00%","630,983","Analyze"
"CBD","Companhia Brasileira de Distribuica ADRs","Brazil","BS:PCAR4","XBSP","Consumer Discretionary","$1,510,819,322","4.02","0.09","0.11","5.70%","2,991,390","Analyze"
"RLX","RLX Technology Inc. ADRs of class A","China","PRIVATE","","Consumer Staples","$1,467,026,250","0.00","2.52","0.97","0.00%","17,724,462","Analyze"
"NNDM","Nano Dimension Ltd. ADRs","Israel","IT:NNDM","Tel Aviv Stock Exchange","Information Technology","$1,432,838,835","-29.55","421.55","2.15","0.00%","23,906,717","Analyze"
"HLG","Hailiang Education Group Inc. ADRs","China","PRIVATE","","Consumer Staples","$1,418,251,426","21.22","4.55","0.62","0.00%","4,488","Analyze"
"ZEAL","Zealand Pharma A/S ADRs","Denmark","DC:ZEAL","Omx Nordic Exchange Copenhagen A/S","Health Care","$1,375,346,000","10.89","0.00","1.17","0.00%","13,999","Analyze"
"CMPS","COMPASS Pathways Plc ADRs","United Kingdom","PRIVATE","","Health Care","$1,375,044,338","0.00","0.00","7.00","0.00%","364,368","Analyze"
"FORTY","Formula Systems (1985) Ltd. ADRs","Israel","IT:FORTY","Tel Aviv Stock Exchange","Information Technology","$1,361,166,000","28.59","0.71","2.66","1.29%","4,857","Analyze"
"FINV","FinVolution Group ADRs","China","PRIVATE","","Financials","$1,306,615,131","2.18","1.21","0.16","1.73%","8,662,814","Analyze"
"LX","LexinFintech Holdings Ltd. ADRs","China","PRIVATE","","Financials","$1,303,792,340","20.84","0.74","0.24","0.00%","2,454,376","Analyze"
"OPRA","Opera Limited ADRs","Norway","PRIVATE","","Information Technology","$1,274,896,637","7.24","4.46","1.22","0.00%","189,608","Analyze"
"YQ","17 Education & Technology Group Inc. ADRs","China","PRIVATE","","Consumer Discretionary","$1,262,774,760","0.00","8.10","0.61","0.00%","1,745,540","Analyze"
"JKS","JinkoSolar Holding ADRs","China","PRIVATE","","Information Technology","$1,260,756,500","12.80","0.23","0.13","0.00%","2,564,187","Analyze"
"LINX","Linx S.A. ADRs","Brazil","BS:LINX3","XBSP","Information Technology","$1,255,781,405","1,490.81","8.24","0.75","0.30%","26,582","Analyze"
"MSC","Studio City International Holdings Limited Class A ADRs","Hong Kong","MLCO","NASDAQ Global Select","Consumer Discretionary","$1,249,940,363","-3.89","25.40","1.18","0.00%","1,378","Analyze"
"EH","EHang Holdings Limited ADRs","China","PRIVATE","","Industrials","$1,153,903,023","0.00","42.05","3.94","0.00%","2,880,548","Analyze"
"IMOS","ChipMOS TECHNOLOGIES ADRs","Taiwan","TT:8150","Taiwan Stock Exchange","Information Technology","$1,150,857,490","14.06","1.48","0.06","3.88%","19,769","Analyze"
"MESO","Mesoblast ADRs","Australia","AT:MSB","Asx - All Markets","Health Care","$1,078,132,868","-10.99","65.55","2.08","0.00%","191,502","Analyze"
"PLL","Piedmont Lithium Limited ADRs","Australia","AT:PLL","Asx - All Markets","Materials","$1,072,300,761","-616.98","0.00","13.43","0.00%","1,511,851","Analyze"
"GOL","Gol Linhas ADRs of preferred shares","Brazil","BS:GOLL4","XBSP","Industrials","$1,040,850,940","0.00","1.66","-0.07","0.16%","2,618,879","Analyze"
"ICLK","iClick Interactive Asia Group Limited ADRs","China","PRIVATE","","Communication Services","$1,021,000,333","-80.92","4.01","3.75","0.00%","891,152","Analyze"
"CNTB","Connect Biopharma Holdings Ltd ADRs","China","PRIVATE","","Health Care","$996,327,649","0.00","0.00","0.00","0.00%","309,349","Analyze"
"WBAI","500.com ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$978,540,495","0.00","294.50","2.42","0.00%","695,240","Analyze"
"CANG","Cango Inc. ADRs of Class A","China","PRIVATE","","Information Technology","$944,866,028","2.49","3.02","0.11","2.68%","999,693","Analyze"
"RNLX","Renalytix AI PLC ADRs","United Kingdom","LN:RENX","London Stock Exchange","Health Care","$914,640,296","-105.15","0.00","10.53","0.00%","139,692","Analyze"
"SY","So-Young International Inc. ADRs of Class A","China","PRIVATE","","Communication Services","$910,932,554","1,247.50","4.62","0.35","0.00%","1,222,281","Analyze"
"DAO","Youdao, Inc. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$905,366,524","0.00","1.88","-0.64","0.00%","658,894","Analyze"
"GHG","GreenTree Hospitality Group Ltd. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$889,891,807","35.39","6.28","0.44","2.02%","16,331","Analyze"
"PTNR","Partner Communications ADRs","Israel","IT:PTNR","Tel Aviv Stock Exchange","Communication Services","$883,683,128","91.84","0.93","0.52","0.00%","5,101","Analyze"
"GRCL","Gracell Biotechnologies Inc. ADRs","China","PRIVATE","","Health Care","$882,480,659","0.00","0.00","1.08","0.00%","84,962","Analyze"
"ORTX","Orchard Therapeutics plc ADRs","United Kingdom","PRIVATE","","Health Care","$878,236,886","-7.42","275.14","4.92","0.00%","1,030,589","Analyze"
"GGAL","Grupo Financiero Galicia ADRs of Class B","Argentina","AF:GGAL","Bolsa de Comercio de Buenos Aires","Financials","$869,464,860","3.81","0.42","0.00","1.00%","578,736","Analyze"
"ADAP","Adaptimmune Therapeutics ADRs","United Kingdom","PRIVATE","","Health Care","$855,068,187","-6.57","216.04","2.51","0.00%","801,869","Analyze"
"GRVY","Gravity ADRs","South Korea","PRIVATE","","Information Technology","$854,784,189","15.46","2.38","0.00","0.00%","35,955","Analyze"
"PAM","Pampa Energia ADRs","Argentina","AF:PAMP","Bolsa de Comercio de Buenos Aires","Utilities","$851,484,420","-0.03","0.01","0.01","0.00%","98,901","Analyze"
"CLLS","Cellectis SA ADRs","France","FP:ALCLS","Euronext Paris","Health Care","$844,480,872","-10.31","26.08","3.06","0.00%","381,642","Analyze"
"DRD","DRDGold Ltd ADRs","South Africa","SJ:DRD","Johannesburg Stock Exchange","Materials","$843,838,581","10.03","0.92","0.18","3.45%","275,387","Analyze"
"SOGO","Sogou Inc. ADRs of Class A","China","PRIVATE","","Information Technology","$839,912,781","-7.76","0.91","0.86","0.00%","797,415","Analyze"
"BMA","Banco Macro S.A.  ADRs of Class B shares","Argentina","AF:BMA","Bolsa de Comercio de Buenos Aires","Financials","$827,938,261","2.56","0.88","0.01","1.27%","314,682","Analyze"
"SHI","Sinopec Shanghai Petrochemical ADRs","China","HK:0338","Hong Kong Exchange","Industrials","$824,820,000","26.22","0.05","0.03","7.16%","22,962","Analyze"
"SOL","ReneSola Ltd. ADRs","China","PRIVATE","","Materials","$795,319,300","-78.45","9.51","7.70","0.00%","3,878,207","Analyze"
"FANH","Fanhua Inc. ADRs","China","PRIVATE","","Financials","$772,665,136","18.93","1.55","0.42","6.77%","55,847","Analyze"
"ADAG","Adagene Inc. ADRs","China","PRIVATE","","Health Care","$765,242,026","-162.35","38.26","-8.49","0.00%","42,372","Analyze"
"LOMA","Loma Negra Compania Industrial Argentina SA ADRs","Argentina","PRIVATE","","Materials","$755,761,589","6.12","1.78","0.02","4.11%","354,369","Analyze"
"IH","iHuman Inc. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$715,614,784","0.00","9.08","0.00","0.00%","116,881","Analyze"
"BCYC","Bicycle Therapeutics plc  ADRs","United Kingdom","PRIVATE","","Health Care","$703,794,843","-13.80","67.74","7.37","0.00%","170,581","Analyze"
"TEO","Telecom Argentina ADRs","Argentina","AF:TECO2","Bolsa de Comercio de Buenos Aires","Communication Services","$698,393,351","22.00","0.24","0.00","4.04%","318,021","Analyze"
"CALT","Calliditas Therapeutics AB ADRs","Sweden","SS:CALTX","Nasdaq Omx Nordic","Health Care","$688,444,735","0.00","6,864.60","0.57","0.00%","12,858","Analyze"
"SLN","Silence Therapeutics Plc ADRs","United Kingdom","LN:SLN","London Stock Exchange","Health Care","$685,261,333","0.00","432.26","77.68","0.00%","530","Analyze"
"CPAC","Cementos Pacasmayo SAA ADRs","Peru","PE:CPACASC1","Bolsa De Valores De Lima","Materials","$676,494,046","69.57","1.56","0.49","3.99%","3,257","Analyze"
"YI","111, Inc. ADRs","China","PRIVATE","","Consumer Staples","$652,276,631","0.00","0.52","1.83","0.00%","827,641","Analyze"
"SIFY","SIFY Technologies Limited ADRs","India","PRIVATE","","Communication Services","$645,203,689","66.67","2.04","0.05","0.51%","1,290,506","Analyze"
"SOHU","Sohu.com Limited ADRs","China","PRIVATE","","Communication Services","$626,935,852","-7.28","0.49","1.80","0.00%","300,344","Analyze"
"DBVT","DBV Technologies S.A. ADRs","France","FP:DBV","Euronext Paris","Health Care","$584,526,350","0.00","186.78","2.84","0.00%","136,984","Analyze"
"IVA","Inventiva S.A. ADRs","France","FP:IVA","Euronext Paris","Health Care","$558,207,271","-18.94","61.62","5.02","0.00%","39,392","Analyze"
"UXIN","Uxin Limited ADRs","China","PRIVATE","","Consumer Discretionary","$556,103,154","0.00","6.74","-0.29","0.00%","21,014,329","Analyze"
"QIWI","QIWI plc ADRs","Russia","PRIVATE","","Information Technology","$547,309,542","6.45","0.98","0.02","7.49%","448,163","Analyze"
"NBTX","Nanobiotix S.A. - ADRs","France","FP:NANO","Euronext Paris","Health Care","$539,207,031","0.00","645.22","-24.36","0.00%","9,980","Analyze"
"AVDL","Avadel Pharmaceuticals PLC ADRs","Ireland","PRIVATE","","Health Care","$529,109,617","17.63","23.69","3.26","0.00%","419,356","Analyze"
"FLY","Fly Leasing ADRs","Ireland","PRIVATE","","Industrials","$514,215,634","-7.63","1.56","0.65","0.00%","1,029,682","Analyze"
"SMMT","Summit Therapeutics PLC ADRs","United Kingdom","LN:SUMM","London Stock Exchange","Health Care","$509,105,400","-9.90","434.03","6.41","0.00%","131,987","Analyze"
"WIMI","WiMi Hologram Cloud Inc. ADRs of Class B","China","PRIVATE","","Consumer Discretionary","$508,957,706","53.59","5.86","0.82","0.00%","5,350,142","Analyze"
"AMYT","Amryt Pharma plc ADRs","United Kingdom","LN:AMYT","London Stock Exchange","Health Care","$496,178,855","-4.76","2.69","7.53","0.00%","33,673","Analyze"
"BEST","BEST Inc. ADRs of Class A","China","PRIVATE","","Industrials","$467,656,875","0.00","0.10","0.27","0.00%","2,814,691","Analyze"
"JFIN","Jiayin Group Inc. ADRs of class A","China","PRIVATE","","Information Technology","$457,591,750","14.24","2.31","-0.82","0.00%","13,278,104","Analyze"
"VRNA","Verona Pharma plc ADRs","United Kingdom","LN:VRP","London Stock Exchange","Health Care","$446,672,875","0.00","0.00","2.42","0.00%","80,632","Analyze"
"XNET","Xunlei Limited ADRs","China","PRIVATE","","Information Technology","$444,754,633","-32.14","2.39","1.52","0.00%","2,846,484","Analyze"
"BQ","Boqii Holding Limited ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$444,646,848","0.00","3.12","2.89","0.00%","681,328","Analyze"
"HKIB","AMTD International Inc. ADRs of class A","Hong Kong","PRIVATE","","Financials","$438,788,071","12.50","2.75","0.05","0.00%","164,352","Analyze"
"QTT","Qutoutiao Inc. ADRs","China","PRIVATE","","Communication Services","$438,397,389","0.00","0.54","-0.34","0.00%","4,728,287","Analyze"
"QD","Qudian Inc. ADRs of Class A","China","PRIVATE","","Financials","$435,621,809","4.19","0.78","0.04","0.00%","8,406,633","Analyze"
"TOUR","Tuniu Corp ADRs","China","PRIVATE","","Consumer Discretionary","$427,978,402","0.00","6.24","0.31","0.00%","1,832,450","Analyze"
"OPT","Opthea Limited ADRs","Australia","PRIVATE","","Health Care","$417,405,820","0.00","2,205.70","2.12","0.00%","10,896","Analyze"
"AUTL","Autolus Therapeutics plc ADRs","United Kingdom","PRIVATE","","Health Care","$416,698,196","-4.20","317.85","1.98","0.00%","662,033","Analyze"
"AENZ","Aenza S.A.A. ADRs","Peru","PE:AENZAC1","Bolsa De Valores De Lima","Industrials","$415,032,899","0.00","0.41","0.30","0.00%","138,358","Analyze"
"YRD","Yirendai Limited ADRs","China","PRIVATE","","Financials","$413,916,999","10.07","0.53","0.10","5.78%","164,785","Analyze"
"HUIZ","Huize Holding Limited ADRs of Class A","China","PRIVATE","","Financials","$399,701,891","77.81","2.15","0.85","0.00%","156,962","Analyze"
"FRSX","Foresight Autonomous Holdings Ltd. ADRs","Israel","IT:FRSX","Tel Aviv Stock Exchange","Real Estate","$392,392,957","0.00","0.00","8.34","0.00%","3,431,018","Analyze"
"JG","Aurora Mobile Limited ADRs","China","PRIVATE","","Information Technology","$387,957,799","0.00","5.40","1.21","0.00%","1,626,234","Analyze"
"ITMR","Itamar Medical Ltd. ADRs","Israel","IT:ITMR","Tel Aviv Stock Exchange","Health Care","$381,513,537","-34.88","9.18","8.86","0.00%","29,102","Analyze"
"NEW","Puxin Limited ADRs","China","PRIVATE","","Consumer Discretionary","$379,437,433","0.00","0.86","0.89","0.00%","498,620","Analyze"
"TGS","Transportadora de Gas del Sur SA ADRs","Argentina","AF:TGSU2","Bolsa de Comercio de Buenos Aires","Energy","$379,180,820","20.72","0.67","0.01","1.18%","87,481","Analyze"
"DNK","Phoenix Tree Holdings Limited ADRs of class A","China","PRIVATE","","Real Estate","$374,659,691","0.00","0.31","1.40","0.00%","123,659","Analyze"
"MTL","Mechel PJSC ADRs","Russia","RX:MTLR","Standard-Classica-Forts","Materials","$370,954,333","0.98","0.11","-0.00","0.00%","109,526","Analyze"
"MREO","Mereo BioPharma Group plc ADRs","United Kingdom","LN:MPH","London Stock Exchange","Health Care","$365,868,986","0.00","0.00","-24.44","0.00%","2,277,456","Analyze"
"DUO","Fangdd Network Group Ltd. ADRs","China","PRIVATE","","Communication Services","$356,719,088","0.00","0.96","0.24","0.00%","60,840","Analyze"
"LEJU","Leju Holdings ADRs","China","PRIVATE","","Real Estate","$352,992,022","18.29","0.35","1.19","8.10%","88,005","Analyze"
"LND","Brasilagro Brazilian Agric Real Estate Co ADRs","Brazil","BS:AGRO3","XBSP","Consumer Staples","$350,585,365","3.17","0.53","0.31","3.07%","28,158","Analyze"
"CEPU","Central Puerto S.A. ADRs","Argentina","AF:CEPU","Bolsa de Comercio de Buenos Aires","Utilities","$345,197,075","4.56","0.97","0.00","1.15%","193,745","Analyze"
"MIXT","MiX Telematics ADRs","South Africa","SJ:MIX","Johannesburg Stock Exchange","Information Technology","$343,959,501","27.47","2.87","2.79","1.74%","31,917","Analyze"
"IPHA","Innate Pharma S.A. ADRs","France","FP:IPH","Euronext Paris","Health Care","$340,445,779","13.66","2.28","2.31","0.00%","4,581","Analyze"
"WKEY","WISeKey International Holding AG ADRs","Switzerland","SE:WIHN","Six Swiss Exchange","Information Technology","$333,353,548","-14.96","14.31","17.57","0.00%","14,325,166","Analyze"
"VIOT","Viomi Technology Co. ADRs","China","PRIVATE","","Information Technology","$321,865,793","25.05","0.36","0.21","1.98%","1,025,819","Analyze"
"LIZI","LIZHI INC. ADRs of Class A","China","PRIVATE","","Communication Services","$316,771,990","34.82","1.38","1.87","0.00%","7,017,082","Analyze"
"LITB","LightInTheBox ADRs","China","PRIVATE","","Consumer Discretionary","$316,324,883","23.75","0.79","6.42","0.00%","594,678","Analyze"
"RDHL","RedHill Biopharma ADRs","Israel","IT:RDHL","Tel Aviv Stock Exchange","Health Care","$312,317,784","-4.10","4.85","22.53","0.00%","344,340","Analyze"
